Departamento,antioquia,arauca,atlantico,bolivar,boyaca,casanare,cauca,cesar,cordoba,cundinamarca,departamento nn,huila,magdalena,meta,nariño,norte de santander,putumayo,santander,sucre,tolima,vichada,caqueta,nd
Julio_2016,20831.870967741943,23316.96774193548,49.25806451612903,12163.258064516129,40673.967741935485,159922.5483870968,977.2903225806451,9132.935483870968,2.258064516129032,263.80645161290323,0.0,26701.387096774197,203.4193548387096,440676.74193548376,383.3225806451613,3545.0,32693.45161290323,55726.161290322576,19.225806451612904,15263.064516129032,0,0,0
Agosto_2016,19839.16129032258,21277.548387096773,37.87096774193548,11912.193548387097,41028.03225806451,160056.51612903224,913.0645161290323,9152.516129032258,2.258064516129032,252.38709677419357,0.0,26700.354838709674,235.19354838709677,431404.870967742,378.8064516129032,3344.0967741935483,30902.1935483871,54938.12903225806,13.774193548387098,14743.225806451614,0,0,0
Septiembre_2016,19515.300000000003,52689.466666666674,28.96666666666667,11313.333333333332,40622.100000000006,160391.93333333335,939.6666666666666,9124.766666666666,2.1,247.89999999999998,0.0,26329.0,222.39999999999998,424303.23333333334,366.7,3145.7666666666664,38654.3,55846.36666666667,20.133333333333333,14862.100000000002,0,0,0
Octubre_2016,19252.129032258064,51210.41935483871,17.45161290322581,11356.032258064519,39577.67741935483,163043.4193548387,901.9354838709678,9326.225806451612,0.967741935483871,236.7741935483871,0.0,24436.741935483864,222.35483870967744,413654.67741935485,360.8064516129032,3162.1290322580644,38081.967741935485,56594.25806451613,18.709677419354836,15173.709677419356,0,0,0
Noviembre_2016,17736.566666666666,49227.33333333333,27.96666666666667,11038.066666666668,39891.99333333334,162468.1666666667,937.8666666666667,9886.9,0.6666666666666666,353.3666666666666,0.0,24417.166666666664,215.13333333333333,422743.4333333334,303.1,3117.3,39465.9,58347.76666666666,14.5,14912.433333333332,0,0,0
Diciembre_2016,17721.967741935485,40998.32258064517,39.70967741935484,10411.41935483871,39347.12741935484,160275.25806451615,930.0,10416.419354838708,0.5483870967741935,357.2258064516129,0.0,26126.935483870966,209.16129032258067,414809.38709677424,289.7096774193548,3171.387096774194,38912.481612903226,58641.3870967742,10.64516129032258,14788.25806451613,0,0,0
Enero_2017,19314.548387096773,49389.161290322576,44.51612903225806,10463.0,38159.06451612904,161930.6451612903,901.9677419354839,10514.838709677417,0.1935483870967742,353.41935483870964,0.0,26486.8064516129,238.00000000000003,426848.16129032255,285.1612903225807,3207.2580645161293,36457.99096774194,60419.93548387097,32.38709677419355,15430.548387096773,0,0,0
Febrero_2017,19103.392857142855,50452.14285714286,26.35714285714286,10570.5,38404.89285714286,162529.2142857143,868.7142857142857,10165.321428571428,0.1428571428571428,345.4285714285714,0.0,26256.464285714283,262.0714285714286,431388.75000000006,318.0357142857143,3051.3571428571427,34822.107142857145,59314.42857142857,43.32142857142858,16591.21385714286,0,0,0
Marzo_2017,19090.45161290323,8404.741935483871,21.96774193548387,10127.06451612903,37328.16129032258,163292.89741935482,962.4193548387098,10322.129032258066,0.1935483870967742,311.80645161290323,0.0,25879.709677419363,284.6754838709677,412497.935483871,217.7741935483871,3191.709677419354,35224.939354838716,59734.645161290326,36.70967741935485,17379.290322580648,0,0,0
Abril_2017,18920.433333333334,49794.83333333333,18.16666666666667,10277.866666666667,36784.966666666674,163817.14966666666,935.0333333333334,11110.6,0.1333333333333333,263.9666666666667,0.0,25403.066666666666,278.03333333333336,426614.86233333335,297.1,3116.366666666667,34568.13333333333,59420.43333333333,39.93333333333334,16768.06666666667,0,0,0
Mayo_2017,18767.12483870968,51310.25806451612,17.85064516129032,10552.550967741934,36071.19354838709,168257.25258064512,990.0645161290321,12227.090967741933,1.580645161290323,265.1935483870968,0.0,25232.77741935484,249.50387096774196,422732.8222580646,333.4516129032258,3146.2470967741933,35056.74193548387,51388.352258064515,38.92580645161291,15869.419354838712,0,0,0
Junio_2017,19118.402666666665,50344.96666666667,56.163,10357.446666666667,35849.95166666667,164141.50199999998,953.4333333333334,13961.348333333332,3.985666666666666,253.599,0.0,24869.843666666668,274.70866666666666,423560.456,174.658,3163.3859999999995,36192.35466666666,57937.039666666664,42.51333333333334,15745.530999999999,0,0,0
Julio_2017,18353.281290322582,43061.967741935485,0.0,10478.902258064516,36061.31516129031,167267.31580645163,963.3870967741935,14316.62451612903,3.18483870967742,259.4264516129033,39.1858064516129,24947.44451612903,260.0748387096774,426877.32516129036,73.0758064516129,3133.7074193548383,35479.17935483871,59195.90032258065,43.68387096774193,15576.500967741933,0,0,0
Agosto_2017,18021.52548387097,47975.6129032258,48.07322580645161,10332.918387096775,35559.04516129031,164710.64838709676,791.0322580645161,14951.568709677422,2.413870967741935,257.1796774193548,82.7490322580645,25113.849032258062,244.99000000000004,425243.81903225806,288.6922580645161,3160.293870967742,37629.2664516129,58464.23677419357,41.91612903225806,15592.146451612904,0,0,0
Septiembre_2017,17810.906666666666,48427.66666666667,132.315,10325.714333333333,36051.232,161817.4486666667,749.9843333333333,16056.256333333333,2.312333333333334,264.7333333333333,0.0,24197.653,236.21833333333333,421552.7046666667,318.5583333333333,3264.233,36239.768,59056.438333333346,24.233333333333338,15670.292,0,0,0
Octubre_2017,17640.013225806448,47138.80032258065,114.6648387096774,10077.207096774193,35441.56193548388,169906.95870967742,785.3077419354839,16629.082580645158,1.258064516129032,251.46161290322578,0.0,24255.409354838706,229.46806451612906,424728.4545161291,326.3045161290323,3206.3596774193543,38602.47903225805,59215.48935483872,40.691935483870964,15261.039032258062,0,0,0
Noviembre_2017,17705.961666666666,44687.30766666666,181.466,9682.386999999999,35192.86066666666,167436.65599999996,772.6633333333333,19048.824,1.375666666666667,248.5316666666667,0.0,24872.767999999996,200.00033333333337,416408.50666666677,281.017,2999.0843333333332,34816.432,60764.26666666667,42.93333333333332,15718.247666666666,0,0,0
Diciembre_2017,17294.25580645161,46905.87741935484,210.2964516129032,9617.91935483871,35249.25967741935,167897.66225806452,802.8609677419354,20525.93451612904,1.075161290322581,209.45161290322582,0.0,24923.074516129032,170.3148387096774,427831.1596774193,270.4748387096774,2916.866774193549,37307.86161290323,62523.953870967736,42.32258064516129,15618.421612903225,0,0,0
Enero_2018,17104.2429032258,46571.40838709678,161.13096774193556,9514.30935483871,35512.122903225805,162805.02645161288,780.9645161290324,20726.887419354836,0.9180645161290323,150.5493548387097,0.0,24797.466451612905,141.7590322580645,425024.3983870967,274.2880645161291,2952.9309677419355,36501.45064516129,62680.61967741936,40.032258064516135,15136.20064516129,0,0.0,0
